InstitutionName::InstitutionAddress::InstitutionCity::InstitutionState::InstitutionZipcode::InstitutionWebsite
Olivet College::320 South Main Street::Olivet::MI::49076::http://www.olivetcollege.edu
Kellog Community College::450 North Avenue::Battle Creek::MI::49017::http://www.kellog.edu
United States Army::1600 Pennsylvania Avenue::Washington::DC::00000::http://www.whitehouse.gov
United States Navy::1600 Pennsylvania Avenue::Washington::DC::00000::http://www.whitehouse.gov
United States Marines::1600 Pennsylvania Avenue::Washington::DC::00000::http://www.whitehouse.gov
United States Air Force::1600 Pennsylvania Avenue::Washington::DC::00000::http://www.whitehouse.gov
United States Coast Guard::1600 Pennsylvania Avenue::Washington::DC::00000::http://www.whitehouse.gov
